IP Address,MAC Address,Vendor,Model,Hostname,Open Ports,Protocols,ONVIF Status,RTSP Status,Web URL,RTSP URL,ONVIF URL,Subnet,Confidence,Discovery Methods,Last Seen
192.168.1.240,,Hikvision,,,80;443;554;8000;8443,SSDP/UPnP;RTSP;Hikvision SDK;HTTP;HTTPS,not-checked,found,http://192.168.1.240:80/upnpdevicedesc.xml,rtsp://192.168.1.240:554/,,192.168.1.0/24,80%,SSDP,2026-05-09T10:08:04.752002
192.168.1.202,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.202:80/upnp_device_desc.xml,rtsp://192.168.1.202:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:09.302545
192.168.1.198,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.198:80/upnp_device_desc.xml,rtsp://192.168.1.198:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:13.853172
192.168.1.199,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.199:80/upnp_device_desc.xml,rtsp://192.168.1.199:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:18.434061
192.168.1.196,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.196:80/upnp_device_desc.xml,rtsp://192.168.1.196:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:23.016790
192.168.1.197,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.197:80/upnp_device_desc.xml,rtsp://192.168.1.197:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:27.614525
192.168.1.195,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.195:80/upnp_device_desc.xml,rtsp://192.168.1.195:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:32.215663
192.168.1.203,,Dahua/Amcrest,,,80;554;37777,SSDP/UPnP;RTSP;Dahua SDK;HTTP,not-checked,found,http://192.168.1.203:80/upnp_device_desc.xml,rtsp://192.168.1.203:554/,,192.168.1.0/24,75%,SSDP,2026-05-09T10:08:36.765289
192.168.1.242,,Hikvision,,,80;443;554;8000;8443,SSDP/UPnP;RTSP;Hikvision SDK;HTTP;HTTPS,not-checked,found,http://192.168.1.242:80/upnpdevicedesc.xml,rtsp://192.168.1.242:554/,,192.168.1.0/24,80%,SSDP,2026-05-09T10:08:41.299326
