IP Address,MAC Address,Vendor,Model,Hostname,Open Ports,Protocols,ONVIF Status,RTSP Status,Web URL,RTSP URL,ONVIF URL,Subnet,Confidence,Discovery Methods,Last Seen
192.168.1.242,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.242:80/upnpdevicedesc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.202,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.202:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.195,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.195:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.203,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.203:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.197,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.197:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.198,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.198:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.196,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.196:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.199,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.199:80/upnp_device_desc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
192.168.1.240,,Unknown,,,,SSDP/UPnP,not-checked,not-checked,http://192.168.1.240:80/upnpdevicedesc.xml,,,,0%,SSDP,2026-05-09T10:07:23.692180
